Track name,Artist name,Album,Playlist name,Type,ISRC
"Qué Más Da","Nikone","Mar y Tierra","Lista De Javi","Playlist","QM4TW2223501"
"Acróstico","Shakira","Acróstico","Lista De Javi","Playlist","USQX92302824"
"WHERE SHE GOES","Bad Bunny","WHERE SHE GOES","Lista De Javi","Playlist","QM6P42334528"
"4 PREZ","Cruz Cafuné","4 PREZ","Lista De Javi","Playlist","QM6MZ2312577"
"Estrecho / Alvarado (feat. pablopablo)","C. Tangana","Estrecho / Alvarado (feat. pablopablo)","Lista De Javi","Playlist","ES5022300534"
"POLARIS - Remix","Saiko","POLARIS (Remix)","Lista De Javi","Playlist","QM6P42393140"
"COSAS QUE NO TE DIJE","Saiko","COSAS QUE NO TE DIJE","Lista De Javi","Playlist","ES5152100862"
"PASIEMPRE","Tainy","DATA","Lista De Javi","Playlist","USA2P2326883"
"Columbia","Quevedo","Columbia","Lista De Javi","Playlist","BK4DA2310533"
"SI TÚ SUPIERAS","Feid","INTER SHIBUYA (FERXXO EDITION)","Lista De Javi","Playlist","USUM72113045"
"Niña Bonita","Feid","Niña Bonita","Lista De Javi","Playlist","USUM72305943"
"Aguante","Feid","FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM","Lista De Javi","Playlist","USUM72217630"
"RÁPIDO","Mora","RÁPIDO","Lista De Javi","Playlist","QM6MZ2307622"
"2010","Mora","MICRODOSIS","Lista De Javi","Playlist","QM4TX2252942"
"El Cielo","Sky Rompiendo","El Cielo","Lista De Javi","Playlist","USSD12300241"
"LALA","Myke Towers","LA VIDA ES UNA","Lista De Javi","Playlist","USWL12300002"
"BABY HELLO","Rauw Alejandro","BABY HELLO","Lista De Javi","Playlist","USSD12300274"
"Los del Espacio","LIT killah","Los del Espacio","Lista De Javi","Playlist","USWL12300725"
"Mbappe","Eladio Carrion","SEN2 KBRN VOL. 2","Lista De Javi","Playlist","QMDA72266870"
"Las Calles De Oro","Daviles de Novelda","Las Calles De Oro","Lista De Javi","Playlist","QZPYN2211764"
"Las Bratz (Remix)","Aissa","Las Bratz (Remix)","Lista De Javi","Playlist","QM4TW2397107"
"Todo Contigo","Álvaro De Luna","Todo Contigo","Lista De Javi","Playlist","ES5152300175"
"Holanda","Jhayco","Holanda","Lista De Javi","Playlist","USUM72310520"
"DISPARA ***","Nicki Nicole","DISPARA ***","Lista De Javi","Playlist","UYB282300010"
"Mojando Asientos (feat. Feid)","Maluma","Mojando Asientos (feat. Feid)","Lista De Javi","Playlist","USSD12200207"
"Le Pido a DIOS","Feid","SIXDO","Lista De Javi","Playlist","USUM72222463"
"Muchoperro","Juseph","Muchoperro","Lista De Javi","Playlist","ZZOPM2239695"
"A 300","JC Reyes","A 300","Lista De Javi","Playlist","BK4DA2301603"
"LAS BABYS","Aitana","LAS BABYS","Lista De Javi","Playlist","ESUM72301752"
"Sin Frenos","Eladio Carrion","Sauce Boyz 2","Lista De Javi","Playlist","QMDA72165835"
"VAGABUNDO","Sebastian Yatra","VAGABUNDO","Lista De Javi","Playlist","USUM72305982"
"Chulo","Bad Gyal","Chulo","Lista De Javi","Playlist","USUM72300973"
"Whiskey y Coco","Justin Quiles","Whiskey y Coco","Lista De Javi","Playlist","USWL12201513"
"Contando Primaveras - 2006 Remastered Version","Melendi","Sin Noticias De Holanda","Lista De Javi","Playlist","ES5080600394"
"Buenas","Quevedo","Buenas","Lista De Javi","Playlist","BK4DA2318657"
"Mi Abu - Iker&Calero Vol. X","Calero LDN","Mi Abu (Iker&Calero Vol. X)","Lista De Javi","Playlist","QM6P42028385"
"Horizonte","Nikone","Mar y Tierra","Lista De Javi","Playlist","QM4TW2221842"
"El Mambo","Kiko Rivera","El Mambo","Lista De Javi","Playlist","USA2P2334559"
"Vois sur ton chemin - Techno Mix","BENNETT","Vois sur ton chemin (Techno Mix)","Lista De Javi","Playlist","DEA622301801"
"Hablando En Plata","Melendi","Hablando En Plata","Lista De Javi","Playlist","ES5022302372"
"FERXXO 30","Feid","MOR, No Le Temas a La Oscuridad","Lista De Javi","Playlist","USUM72314611"
"El Danzar De Las Mariposas","El Barrio","El Danzar De Las Mariposas","Lista De Javi","Playlist","ES21S1900080"
"OA","Anuel AA","OA","Lista De Javi","Playlist","QZ7B82300076"
"Not Loving","Zaidbreak","Not Loving","Lista De Javi","Playlist","QM7281868415"
"Historias de Amor de Barrio","Denom","Una Parte de Mí","Lista De Javi","Playlist","ESA011690303"
"Si No Estás","iñigo quintero","Si No Estás","Lista De Javi","Playlist","TCAGM2208561"
"BESOS (with Kidd Keo & Neelo)","SwaggGlock","BESOS (with Kidd Keo & Neelo)","Lista De Javi","Playlist","QZYFZ2360949"
"Lollipop","Darell","EVERYBODY GO TO THE DISCOTEK","Lista De Javi","Playlist","USSD12300307"
"Celine (with Kidd Keo)","Ghost Killer Track","Celine (with Kidd Keo)","Lista De Javi","Playlist","QZWDW2401382"
"MONACO","Bad Bunny","nadie sabe lo que va a pasar mañana","Lista De Javi","Playlist","QMFME2364182"
"Me Lo Pienso","Reality","Me Lo Pienso","Lista De Javi","Playlist","ES71G2302838"
"Lo Siento Mama","Reality","Lo Siento Mama","Lista De Javi","Playlist","QZNWQ2051584"
"El Merengue","Marshmello","El Merengue","Lista De Javi","Playlist","USSD12300040"
"LUCES DE TECNO","Feid","MOR, No Le Temas a La Oscuridad","Lista De Javi","Playlist","USUM72312325"
"Cupido","TINI","Cupido","Lista De Javi","Playlist","USHR12245118"
"Libertad","Nil Moliner","Un Secreto Al Que Gritar","Lista De Javi","Playlist","ES5152100262"
"Con La Luna Llena","Melendi","Con La Luna Llena","Lista De Javi","Playlist","ES5022302213"
"Con Solo una Sonrisa","Melendi","Con Solo una Sonrisa","Lista De Javi","Playlist","ES5022302456"
